 Total battles: 472479
 Avg. weight/team: 0.008
 +  + ---------------------- + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Incineroar         | 44.71806% | 370833 | 39.243% | 172098 | 40.700% | 
 | 2    | Calyrex-Shadow     | 35.14838% | 210815 | 22.309% | 122594 | 28.993% | 
 | 3    | Rillaboom          | 34.10241% | 163372 | 17.289% | 63474  | 15.011% | 
 | 4    | Calyrex-Ice        | 32.97318% | 178687 | 18.910% | 104170 | 24.636% | 
 | 5    | Urshifu-Rapid-Strike | 29.63005% | 187083 | 19.798% | 69861  | 16.522% | 
 | 6    | Zamazenta-Crowned  | 27.13833% | 119276 | 12.622% | 67808  | 16.036% | 
 | 7    | Miraidon           | 24.48624% | 228468 | 24.178% | 143001 | 33.819% | 
 | 8    | Kyogre             | 23.63700% | 142512 | 15.081% | 88276  | 20.877% | 
 | 9    | Chien-Pao          | 21.71565% | 97145  | 10.280% | 41301  |  9.767% | 
 | 10   | Amoonguss          | 21.39486% | 164904 | 17.451% | 55145  | 13.041% | 
 | 11   | Landorus           | 21.02687% | 63676  |  6.739% | 22356  |  5.287% | 
 | 12   | Raging Bolt        | 20.16983% | 76840  |  8.132% | 24168  |  5.716% | 
 | 13   | Whimsicott         | 15.85309% | 136575 | 14.453% | 47952  | 11.340% | 
 | 14   | Smeargle           | 13.43747% | 70449  |  7.455% | 32163  |  7.606% | 
 | 15   | Grimmsnarl         | 13.40867% | 68728  |  7.273% | 26196  |  6.195% | 
 | 16   | Flutter Mane       | 11.70766% | 171201 | 18.117% | 72316  | 17.102% | 
 | 17   | Tornadus           | 11.07898% | 139428 | 14.755% | 48459  | 11.460% | 
 | 18   | Koraidon           | 10.19031% | 155508 | 16.457% | 89480  | 21.161% | 
 | 19   | Arceus             |  9.38666% | 74901  |  7.926% | 38233  |  9.042% | 
 | 20   | Zacian-Crowned     |  9.28389% | 46996  |  4.973% | 26894  |  6.360% | 
 | 21   | Ursaluna           |  9.03071% | 100416 | 10.627% | 43167  | 10.209% | 
 | 22   | Indeedee-F         |  8.90466% | 151309 | 16.012% | 67557  | 15.977% | 
 | 23   | Dragonite          |  8.89036% | 23275  |  2.463% | 7991   |  1.890% | 
 | 24   | Lunala             |  8.25285% | 108847 | 11.519% | 57012  | 13.483% | 
 | 25   | Chi-Yu             |  8.13494% | 80731  |  8.543% | 32332  |  7.646% | 
 | 26   | Farigiraf          |  7.85199% | 113933 | 12.057% | 38968  |  9.216% | 
 | 27   | Volcarona          |  7.61211% | 30430  |  3.220% | 11040  |  2.611% | 
 | 28   | Dondozo            |  6.57278% | 16820  |  1.780% | 8805   |  2.082% | 
 | 29   | Ogerpon-Cornerstone |  6.36542% | 36182  |  3.829% | 12442  |  2.942% | 
 | 30   | Tatsugiri          |  6.18728% | 14809  |  1.567% | 7947   |  1.879% | 
 | 31   | Brute Bonnet       |  4.12979% | 47670  |  5.045% | 19195  |  4.539% | 
 | 32   | Urshifu            |  4.04752% | 58081  |  6.146% | 24797  |  5.864% | 
 | 33   | Iron Jugulis       |  3.89630% | 10651  |  1.127% | 3519   |  0.832% | 
 | 34   | Iron Hands         |  3.69532% | 74395  |  7.873% | 32216  |  7.619% | 
 | 35   | Groudon            |  3.60666% | 60155  |  6.366% | 36202  |  8.562% | 
 | 36   | Clefairy           |  3.25019% | 30386  |  3.216% | 11320  |  2.677% | 
 | 37   | Magearna           |  3.13091% | 65505  |  6.932% | 32852  |  7.769% | 
 | 38   | Ting-Lu            |  3.05815% | 15296  |  1.619% | 5902   |  1.396% | 
 | 39   | Ogerpon-Hearthflame |  2.86977% | 35010  |  3.705% | 12972  |  3.068% | 
 | 40   | Weezing-Galar      |  2.85550% | 19790  |  2.094% | 7875   |  1.862% | 
 | 41   | Ogerpon-Wellspring |  2.83125% | 36578  |  3.871% | 11783  |  2.787% | 
 | 42   | Terapagos          |  2.42918% | 36697  |  3.883% | 19712  |  4.662% | 
 | 43   | Annihilape         |  2.30333% | 52865  |  5.594% | 22135  |  5.235% | 
 | 44   | Iron Valiant       |  1.99991% | 22460  |  2.377% | 8572   |  2.027% | 
 | 45   | Sinistcha          |  1.81832% | 22933  |  2.427% | 9372   |  2.216% | 
 | 46   | Maushold           |  1.77673% | 14038  |  1.486% | 5150   |  1.218% | 
 | 47   | Iron Bundle        |  1.67348% | 20091  |  2.126% | 7809   |  1.847% | 
 | 48   | Roaring Moon       |  1.65782% | 12896  |  1.365% | 4142   |  0.980% | 
 | 49   | Torkoal            |  1.58997% | 36585  |  3.872% | 15317  |  3.622% | 
 | 50   | Eternatus          |  1.57151% | 10930  |  1.157% | 5852   |  1.384% | 
 | 51   | Ursaluna-Bloodmoon |  1.56344% | 46069  |  4.875% | 18449  |  4.363% | 
 | 52   | Pelipper           |  1.53285% | 24960  |  2.641% | 9741   |  2.304% | 
 | 53   | Iron Moth          |  1.33488% | 6051   |  0.640% | 2483   |  0.587% | 
 | 54   | Ditto              |  1.32566% | 14246  |  1.508% | 5361   |  1.268% | 
 | 55   | Landorus-Therian   |  1.32537% | 15538  |  1.644% | 6168   |  1.459% | 
 | 56   | Ho-Oh              |  1.26178% | 19451  |  2.058% | 10975  |  2.596% | 
 | 57   | Weezing            |  1.09797% | 3609   |  0.382% | 1733   |  0.410% | 
 | 58   | Basculegion        |  0.99843% | 15971  |  1.690% | 6561   |  1.552% | 
 | 59   | Entei              |  0.97074% | 4501   |  0.476% | 1937   |  0.458% | 
 | 60   | Iron Treads        |  0.95658% | 12838  |  1.359% | 3803   |  0.899% | 
 | 61   | Walking Wake       |  0.92358% | 20090  |  2.126% | 8159   |  1.930% | 
 | 62   | Pecharunt          |  0.73326% | 14264  |  1.509% | 6845   |  1.619% | 
